,name,Morgan radius 2 tanimoto similarity average,Morgan radius 2 tanimoto similarity std,Morgan radius 2 tanimoto similarity max,Morgan radius 2 tanimoto similarity median,Morgan radius 2 tanimoto similarity percentile 80,Morgan radius 2 tanimoto similarity percentile 90,Morgan radius 2 tanimoto similarity percentile 95,Morgan radius 3 tanimoto similarity average,Morgan radius 3 tanimoto similarity std,Morgan radius 3 tanimoto similarity max,Morgan radius 3 tanimoto similarity median,Morgan radius 3 tanimoto similarity percentile 80,Morgan radius 3 tanimoto similarity percentile 90,Morgan radius 3 tanimoto similarity percentile 95,Morgan radius 4 tanimoto similarity average,Morgan radius 4 tanimoto similarity std,Morgan radius 4 tanimoto similarity max,Morgan radius 4 tanimoto similarity median,Morgan radius 4 tanimoto similarity percentile 80,Morgan radius 4 tanimoto similarity percentile 90,Morgan radius 4 tanimoto similarity percentile 95,custom fingerprint tanimoto similarity average,custom fingerprint tanimoto similarity std,custom fingerprint tanimoto similarity max,custom fingerprint tanimoto similarity median,custom fingerprint tanimoto similarity percentile 80,custom fingerprint tanimoto similarity percentile 90,custom fingerprint tanimoto similarity percentile 95
"Diphenylantipyrylcarbinol, 4-amino-4'-dimethylamino-","Diphenylantipyrylcarbinol, 4-amino-4'-dimethylamino-",0.10709930648442748,0.05885925569261912,0.43617021276595747,0.10101010101010101,0.1559633027522936,0.19,0.21621621621621623,0.091366443084696,0.04933585952717735,0.3879310344827586,0.08695652173913043,0.13043478260869565,0.15903070439494285,0.18115942028985507,0.08408753041640227,0.04457830255595476,0.3435114503816794,0.08053691275167785,0.12,0.1450381679389313,0.16454030646235843,0.2658040941851388,0.10123268092217329,0.64,0.26666666666666666,0.12,0.1450381679389313,0.16454030646235843
"Diphenylantipyrylcarbinol, 4-dimethylamino-3'-methoxy-","Diphenylantipyrylcarbinol, 4-dimethylamino-3'-methoxy-",0.1067026784256224,0.059266062468300615,0.422680412371134,0.102803738317757,0.1559633027522936,0.18691588785046728,0.21666666666666667,0.09043433744470834,0.04868328950748838,0.371900826446281,0.0873015873015873,0.1297709923664122,0.15518320573932312,0.18055555555555555,0.08346348792310378,0.04417194158547292,0.33088235294117646,0.08108108108108109,0.1195411462485605,0.14189189189189189,0.16447368421052633,0.25770136361227863,0.099907128446566,0.6428571428571429,0.26,0.1195411462485605,0.14189189189189189,0.16447368421052633
"1H-Indazole-5,7-disulfonic acid, 6-hydroxy-","1H-Indazole-5,7-disulfonic acid, 6-hydroxy-",0.10055751382575562,0.04543843618446377,0.39436619718309857,0.10112359550561797,0.13432835820895522,0.1527777777777778,0.16923076923076924,0.08497782309874158,0.03718315372191843,0.3111111111111111,0.08571428571428572,0.11224489795918367,0.12871287128712872,0.14102564102564102,0.07890725578857602,0.03419658989778658,0.27884615384615385,0.08,0.10416666666666667,0.11849826863495548,0.1303478260869566,0.3329287611946252,0.12691620485005198,0.7567567567567568,0.3333333333333333,0.10416666666666667,0.11849826863495548,0.1303478260869566
"Pyrimidine, 1,2-dihydro-2-imino-5-(4-methoxyphenyl)-1-methyl-","Pyrimidine, 1,2-dihydro-2-imino-5-(4-methoxyphenyl)-1-methyl-",0.13728944859178518,0.07314597391773069,0.86,0.140625,0.19047619047619047,0.2191780821917808,0.24242424242424243,0.11562027835753323,0.060748861168952256,0.819672131147541,0.11904761904761904,0.15853658536585366,0.18072289156626506,0.2,0.10763440718989678,0.05594673421309706,0.7941176470588235,0.1118421052631579,0.14705882352941177,0.16853932584269662,0.1875,0.37345342313661384,0.13739106570596318,1.0,0.38235294117647056,0.14705882352941177,0.16853932584269662,0.1875
"Pyrazine 1-oxide, 3-piperidino-","Pyrazine 1-oxide, 3-piperidino-",0.07597127130073328,0.042611165937494436,0.4339622641509434,0.07142857142857142,0.10294117647058823,0.12121212121212122,0.1388888888888889,0.06330469326544017,0.034851007131528236,0.3880597014925373,0.05970149253731343,0.08536585365853659,0.10137589433131543,0.11594202898550725,0.061785248944902234,0.03385530856479594,0.36619718309859156,0.058823529411764705,0.08333333333333333,0.09876543209876543,0.11201814058956937,0.30739161528237025,0.1281651727433829,0.9523809523809523,0.3103448275862069,0.08333333333333333,0.09876543209876543,0.11201814058956937
"2,7-Naphthalenedisulfonic acid, 3,6-bis(3-nitrophenylazo)-4,5-dihydroxy-","2,7-Naphthalenedisulfonic acid, 3,6-bis(3-nitrophenylazo)-4,5-dihydroxy-",0.08251720610342435,0.05000293164732657,0.31496062992125984,0.07751937984496124,0.12061497453472317,0.15151515151515152,0.17266187050359713,0.06779999215108154,0.03971019675107318,0.24390243902439024,0.06358381502890173,0.09937888198757763,0.12269938650306748,0.13953488372093023,0.061312174415369396,0.035226589203324096,0.21808510638297873,0.05759162303664921,0.0893854748603352,0.10982658959537572,0.125,0.15231820130452864,0.06676028647701814,0.5079365079365079,0.14285714285714285,0.0893854748603352,0.10982658959537572,0.125
"N,N,N-Trimethyl, 2-formyl-2-methylpropylammonium iodide (Propanal, 2,2-dimethyl-3-(N,N,N-trimethylammonio-), iodide)-","N,N,N-Trimethyl, 2-formyl-2-methylpropylammonium iodide (Propanal, 2,2-dimethyl-3-(N,N,N-trimethylammonio-), iodide)-",0.03065658282402042,0.030583163011805515,0.29411764705882354,0.02127659574468085,0.046511627906976744,0.0625,0.08108108108108109,0.02884518015712502,0.02902286735166332,0.2857142857142857,0.02040816326530612,0.04451077943615251,0.058823529411764705,0.07894736842105263,0.028593982607222117,0.02887084574947463,0.2857142857142857,0.02040816326530612,0.04357381748686088,0.058823529411764705,0.07894736842105263,0.1258755217465175,0.061591581002466984,0.5384615384615384,0.11538461538461539,0.04357381748686088,0.058823529411764705,0.07894736842105263
"Acetic acid, 2-[3-(1,8-dihydroxy-3,6-disulfonaphth-2-ylazo)phenyl]-2-hydroxy-","Acetic acid, 2-[3-(1,8-dihydroxy-3,6-disulfonaphth-2-ylazo)phenyl]-2-hydroxy-",0.0944129198780731,0.049551875149620034,0.37254901960784315,0.09174311926605505,0.13592233009708737,0.1574074074074074,0.175,0.07913938097119257,0.039728722059793,0.2900763358778626,0.07801418439716312,0.11194029850746269,0.12893450635386128,0.144,0.07177621681495691,0.03542943638476467,0.26143790849673204,0.07142857142857142,0.10135135135135136,0.11651399277250193,0.12987012987012986,0.19272254864221344,0.07224935217343594,0.5192307692307693,0.1896551724137931,0.10135135135135136,0.11651399277250193,0.12987012987012986
"phosphoramidic acid, N-(4-nitrobenzoyl)-","phosphoramidic acid, N-(4-nitrobenzoyl)-",0.12607664280852818,0.07224599235576047,0.6086956521739131,0.12280701754385964,0.1694915254237288,0.21875,0.26214375788146294,0.10736215877690478,0.060607655211075175,0.5555555555555556,0.1044776119402985,0.1447749809305873,0.18292682926829268,0.21794871794871795,0.10068725759864312,0.056230063022064534,0.5084745762711864,0.09782608695652174,0.13636363636363635,0.17045454545454544,0.2028985507246377,0.28167180170354134,0.0997300213253035,0.8181818181818182,0.2692307692307692,0.13636363636363635,0.17045454545454544,0.2028985507246377
"Pyrimidine, 1,2-dihydro-2-imino-1-methyl-5-(4-nitrophenyl)-","Pyrimidine, 1,2-dihydro-2-imino-1-methyl-5-(4-nitrophenyl)-",0.142198097574341,0.07722132154184617,0.8653846153846154,0.14285714285714285,0.19480519480519481,0.22535211267605634,0.2542372881355932,0.12040195808075665,0.06463589308731583,0.8253968253968254,0.12195121951219512,0.1643835616438356,0.18867924528301888,0.21586452762923355,0.1123400493831107,0.05951384366492294,0.8,0.11494252873563218,0.1523809523809524,0.17525773195876287,0.2,0.35151548733583377,0.1392632228702711,1.0,0.35294117647058826,0.1523809523809524,0.17525773195876287,0.2
