,name,Morgan radius 2 tanimoto similarity average,Morgan radius 2 tanimoto similarity std,Morgan radius 2 tanimoto similarity max,Morgan radius 2 tanimoto similarity median,Morgan radius 2 tanimoto similarity percentile 80,Morgan radius 2 tanimoto similarity percentile 90,Morgan radius 2 tanimoto similarity percentile 95,Morgan radius 3 tanimoto similarity average,Morgan radius 3 tanimoto similarity std,Morgan radius 3 tanimoto similarity max,Morgan radius 3 tanimoto similarity median,Morgan radius 3 tanimoto similarity percentile 80,Morgan radius 3 tanimoto similarity percentile 90,Morgan radius 3 tanimoto similarity percentile 95,Morgan radius 4 tanimoto similarity average,Morgan radius 4 tanimoto similarity std,Morgan radius 4 tanimoto similarity max,Morgan radius 4 tanimoto similarity median,Morgan radius 4 tanimoto similarity percentile 80,Morgan radius 4 tanimoto similarity percentile 90,Morgan radius 4 tanimoto similarity percentile 95,custom fingerprint tanimoto similarity average,custom fingerprint tanimoto similarity std,custom fingerprint tanimoto similarity max,custom fingerprint tanimoto similarity median,custom fingerprint tanimoto similarity percentile 80,custom fingerprint tanimoto similarity percentile 90,custom fingerprint tanimoto similarity percentile 95
"(2S,3R)-2-amino-3-hydroxy-2-methylbutanoic acid","(2S,3R)-2-amino-3-hydroxy-2-methylbutanoic acid",0.07101577273366862,0.055677978749714134,1.0,0.05555555555555555,0.11,0.14285714285714285,0.1746031746031746,0.06500657695658252,0.05288827937038389,1.0,0.05,0.1,0.13043478260869565,0.16363636363636364,0.06332234351068922,0.05244554750174803,1.0,0.04878048780487805,0.09615384615384616,0.12857142857142856,0.16129032258064516,0.22288929076296757,0.12659674286681577,1.0,0.19230769230769232,0.09615384615384616,0.12857142857142856,0.16129032258064516
2-Hydroxy-3-methoxy-5-methylbenzaldehyde,2-Hydroxy-3-methoxy-5-methylbenzaldehyde,0.11150177337057171,0.05496894937223257,0.6046511627906976,0.10666666666666667,0.1509433962264151,0.17857142857142858,0.208955223880597,0.0932363473005186,0.04434176101605629,0.5,0.08974358974358974,0.125,0.14705882352941177,0.16994339622641488,0.08957040372159342,0.04261706212749817,0.4576271186440678,0.0859375,0.12,0.14084507042253522,0.16393442622950818,0.2724446502901188,0.11100495876562455,0.9473684210526315,0.25,0.12,0.14084507042253522,0.16393442622950818
"(S)-2-Amino-5,5,5-trifluoropentanoic acid","(S)-2-Amino-5,5,5-trifluoropentanoic acid",0.05713259700054035,0.05528806189405827,0.78125,0.041666666666666664,0.09259259259259259,0.12,0.15789473684210525,0.050608777428490674,0.04882376435516722,0.6410256410256411,0.037037037037037035,0.08108108108108109,0.10810810810810811,0.13944657050338502,0.04943907123958818,0.04804456357267818,0.625,0.03571428571428571,0.07936507936507936,0.10526315789473684,0.13636363636363635,0.18938056819272,0.10848294572796452,1.0,0.16,0.07936507936507936,0.10526315789473684,0.13636363636363635
"2,4-Dimethylpiperidine, trans-","2,4-Dimethylpiperidine, trans-",0.035244406469606845,0.040624598832906554,1.0,0.02564102564102564,0.050488074017485875,0.07692307692307693,0.1095890410958904,0.03090157254731498,0.0348440705787174,1.0,0.023529411764705882,0.045454545454545456,0.06521739130434782,0.09302325581395349,0.03015379037733348,0.034239520170548564,1.0,0.022727272727272728,0.044444444444444446,0.0625,0.08928571428571429,0.16162318551306976,0.09017537318307782,1.0,0.14545454545454545,0.044444444444444446,0.0625,0.08928571428571429
"(2S,4S)-2,4-dimethylpiperidine","(2S,4S)-2,4-dimethylpiperidine",0.035244406469606845,0.040624598832906554,1.0,0.02564102564102564,0.050488074017485875,0.07692307692307693,0.1095890410958904,0.03090157254731498,0.0348440705787174,1.0,0.023529411764705882,0.045454545454545456,0.06521739130434782,0.09302325581395349,0.03015379037733348,0.034239520170548564,1.0,0.022727272727272728,0.044444444444444446,0.0625,0.08928571428571429,0.16162318551306976,0.09017537318307782,1.0,0.14545454545454545,0.044444444444444446,0.0625,0.08928571428571429
(S)-(+)-1-Aminopropan-2-ol,(S)-(+)-1-Aminopropan-2-ol,0.04974718797861884,0.04334111812060898,1.0,0.039473684210526314,0.07142857142857142,0.1,0.13043478260869565,0.04477950185457577,0.04116769634309006,1.0,0.034482758620689655,0.06382978723404255,0.09090909090909091,0.11904761904761904,0.043552714769488694,0.040843562583065623,1.0,0.03278688524590164,0.061224489795918366,0.08888888888888889,0.11627906976744186,0.18826037916778354,0.09969384493606817,1.0,0.16666666666666666,0.061224489795918366,0.08888888888888889,0.11627906976744186
4-Benzenesulfonylamino-2-hydroxy-benzoic acid,4-Benzenesulfonylamino-2-hydroxy-benzoic acid,0.14314619225842512,0.08939277399125588,0.6615384615384615,0.1323529411764706,0.2236842105263158,0.2638888888888889,0.29752252252252215,0.11875018509431587,0.07252080623707449,0.5925925925925926,0.10989010989010989,0.1839080459770115,0.21839080459770116,0.2441860465116279,0.10958479353749148,0.0659841719061405,0.532608695652174,0.10185185185185185,0.16981132075471697,0.2,0.22321428571428573,0.2908138537446709,0.11128714303234619,0.8571428571428571,0.28125,0.16981132075471697,0.2,0.22321428571428573
Dimethyl-pyridin-3-ylmethyl-amine,Dimethyl-pyridin-3-ylmethyl-amine,0.1111096263629739,0.06276568057234605,0.6857142857142857,0.10843373493975904,0.15942028985507245,0.18461538461538463,0.21153846153846154,0.09314269007552534,0.05260318388895148,0.5909090909090909,0.09016393442622951,0.13152578415736338,0.15254237288135594,0.1746031746031746,0.09055931369379379,0.05184005073306338,0.5777777777777777,0.0875,0.1282051282051282,0.14925373134328357,0.171875,0.2917200374203633,0.13518813234949428,1.0,0.2608695652173913,0.1282051282051282,0.14925373134328357,0.171875
Glycylcysteinylglycine,Glycylcysteinylglycine,0.055146016867336264,0.054385349448026796,0.7727272727272727,0.04054054054054054,0.08823529411764706,0.12121212121212122,0.15625,0.048521760226728605,0.04655891804141725,0.6981132075471698,0.036585365853658534,0.07692307692307693,0.10483870967741936,0.1357396944967564,0.04566880340315694,0.042720209942760136,0.6065573770491803,0.034782608695652174,0.07142857142857142,0.09859154929577464,0.12643678160919541,0.2154957195369302,0.1116115495595783,0.90625,0.2,0.07142857142857142,0.09859154929577464,0.12643678160919541
Gly-Cys,Gly-Cys,0.06111064125948905,0.05799143192086606,0.696969696969697,0.04411764705882353,0.09803921568627451,0.13333333333333333,0.17073170731707318,0.054384827735027244,0.05077173858681357,0.631578947368421,0.04,0.08620689655172414,0.11842105263157894,0.1509433962264151,0.05311030649004714,0.04963407391602251,0.631578947368421,0.038834951456310676,0.08333333333333333,0.11594202898550725,0.14893617021276595,0.23451704557151934,0.11847563457871307,0.875,0.21428571428571427,0.08333333333333333,0.11594202898550725,0.14893617021276595
