,compn,exp.pKa,pred.pKa,M.U.E
3955,2imino1me12dihpyrimidine_cation->neut (+1 -> +0),10.71,10.97693085562146,0.26693085562145846
3956,4imino1me14dihpyrimidine_cation->neut (+1 -> +0),12.18,12.814181386101971,0.6341813861019716
3957,4imino1me2meam14dihpyrimidine_cation->neut (+1 -> +0),14.0,13.425912674634532,0.5740873253654684
3958,4imino1me2methio14dihydropyirimidine_cation->neut (+1 -> +0),12.43,12.452121468960575,0.02212146896057554
3959,146trime1ihpyrimidinimine_cation->neut (+1 -> +0),11.52,11.326669092820849,0.1933309071791509
3960,4meo1me2pyrimidionne_cation->neut (+1 -> +0),0.65,1.2729749748461492,0.6229749748461492
3961,4meam1me2pyrimidionne_cation->neut (+1 -> +0),4.47,4.397248258860542,0.07275174113945759
3962,3me43hpyrimidinone_cation->neut (+1 -> +0),1.79,1.6339949034508852,0.15600509654911487
3963,1me12dihydropyrimidine2thione_cation->neut (+1 -> +0),1.66,2.1897452848055234,0.5297452848055235
3964,1me14dihydropyrimidine4thione_cation->neut (+1 -> +0),1.16,1.6319552757154652,0.47195527571546525
3965,3mepyrimidine43hthione_cation->neut (+1 -> +0),0.56,1.0628581905104246,0.5028581905104246
3966,146trimepyridin31hone_cation->neut (+1 -> +0),3.9,4.0536864187364845,0.1536864187364846
3967,146trimepyridin31hthione_cation->neut (+1 -> +0),3.06,3.2020958272673123,0.1420958272673123
3968,5hydroxypyrimidine43hone_cation->neut (+1 -> +0),1.99,2.0032412614802464,0.013241261480246402
3969,5hydroxypyrimidine43hone_neut->an (+0 -> -1),7.52,7.5078015386771595,0.012198461322840082
3970,5hydroxypyrimidine43hone_an->2an (-1 -> -2),11.69,11.115913474472222,0.5740865255277772
3971,46dimepyrimidine_cation->neut (+1 -> +0),2.7,3.2596361294524323,0.5596361294524321
3972,6methyluracil_neut->an (+0 -> -1),9.8,9.229936118928828,0.5700638810711727
3973,4dime12dih2im1me_cation->neut (+1 -> +0),13.69,13.27663487226871,0.4133651277312893
3974,nndimethylcitosine_cation->neut (+1 -> +0),4.21,4.610144830127203,0.4001448301272035
3975,n4n4n6trime26diampyrimidine_cation->neut (+1 -> +0),6.37,6.98456938869698,0.6145693886969799
3976,4dimeam2meampyrimidine_cation->neut (+1 -> +0),8.1,8.558591810429126,0.45859181042912667
3977,1et12dih2iminopyrimidine_cation->neut (+1 -> +0),10.92,10.800428300118945,0.11957169988105498
3978,5et1me21hpyrimidinimine_cation->neut (+1 -> +0),11.45,11.270171398925036,0.1798286010749628
3979,5etnmethypyrimidin2amine_cation->neut (+1 -> +0),4.29,4.086772507243315,0.20322749275668528
3980,5fluro6methylaminopyrimidin21hone_cation->neut (+1 -> +0),2.66,2.849733620686126,0.18973362068612598
3981,5hydroxypyrimidine_cation->neut (+1 -> +0),1.85,1.6485179995789343,0.2014820004210658
3982,5hydroxypyrimidine_neut->an (+0 -> -1),6.8,7.529961794815107,0.7299617948151074
3983,5methoxypyrimidin4ol_cation->neut (+1 -> +0),1.75,1.4317591232920721,0.3182408767079279
3984,5methoxypyrimidin4ol_neut->an (+0 -> -1),8.64,7.761171717825618,0.8788282821743829
3985,2methoxy6mepyrimidin41hone_neut->an (+0 -> -1),8.5,8.261522718006358,0.23847728199364226
3986,4mepyrimidin2ol_cation->neut (+1 -> +0),3.06,2.522993801601145,0.537006198398855
3987,4mepyrimidin2ol_neut->an (+0 -> -1),9.9,10.125607431210538,0.2256074312105376
3988,4hydroxy6methylpyrimidine_cation->neut (+1 -> +0),2.06,2.1860195048569535,0.12601950485695346
3989,4hydroxy6methylpyrimidine_neut->an (+0 -> -1),9.1,8.98979917549658,0.11020082450341917
3990,n4methylcytosine_cation->neut (+1 -> +0),4.53,4.396346067755011,0.13365393224498945
3991,4oh2meampyrimidine_cation->neut (+1 -> +0),3.9,3.8478669747068555,0.05213302529314445
3992,4oh2meampyrimidine_neut->an (+0 -> -1),9.84,9.690674370893575,0.14932562910642488
3993,45dime2mercaptopyrimidine_cation->neut (+1 -> +0),2.8,2.655792119255141,0.14420788074485902
3994,45dime2mercaptopyrimidine_neut->an (+0 -> -1),8.5,8.876495750425507,0.37649575042550687
3995,4me2mercaptopyrimidine_cation->neut (+1 -> +0),2.1,2.109994786964509,0.00999478696450895
3996,4me2mercaptopyrimidine_neut->an (+0 -> -1),8.1,7.967595105517141,0.13240489448285864
3997,6me4mercaptopyrimidine_cation->neut (+1 -> +0),1.8,0.9963073536066585,0.8036926463933416
3998,6me4mercaptopyrimidine_neut->an (+0 -> -1),7.3,7.369895279281339,0.0698952792813392
3999,2mercapto4meampyrimidine_cation->neut (+1 -> +0),3.07,2.5647918599817583,0.5052081400182415
4000,2mercapto4meampyrimidine_neut->an (+0 -> -1),11.12,10.923034951319908,0.19696504868009157
4001,mepyrimidine2carboxylate_cation->neut (+1 -> +0),-0.68,-0.1719184557181057,0.5080815442818943
4002,4methhoxy6methylpyrimidine_cation->neut (+1 -> +0),3.56,3.454706868147663,0.10529313185233713
4003,pyridine2methylamine_cation->neut (+1 -> +0),3.79,3.8766501248841596,0.08665012488415957
4004,nmethylpyrimidin4amine_cation->neut (+1 -> +0),6.09,6.814508661085799,0.7245086610857987
4005,4me2methiopyrimidine_cation->neut (+1 -> +0),1.86,1.8860174667239074,0.026017466723907257
4006,4m6methiopyrimidine_cation->neut (+1 -> +0),3.16,3.162675630623374,0.002675630623373948
4007,2methiopyrimidine_cation->neut (+1 -> +0),0.59,0.5708568879908391,0.019143112009160856
4008,4methiopyrimidine_cation->neut (+1 -> +0),2.41,2.564078239516112,0.154078239516112
4009,4imino13dime34dihpyrimidin21hone_cation->neut (+1 -> +0),9.4,9.47847451073206,0.07847451073205924
4010,245triaminepyrimidine_2cation->cation (+2 -> +1),2.5,1.5673467505279506,0.9326532494720494
4011,245triaminepyrimidine_cation->neut (+1 -> +0),7.6,7.433210094544333,0.16678990545566652
4012,2me56dih4H13thiazine_cation->neut (+1 -> +0),7.6,7.213298552066059,0.386701447933941
4013,5carbamoylthiazole_cation->neut (+1 -> +0),0.6,0.49482645021536875,0.10517354978463123
4014,3methyl13thiazol23himine_cation->neut (+1 -> +0),9.61,8.730520162579975,0.8794798374200248
4015,methylthiazolidine4carboxylate_cation->neut (+1 -> +0),3.84,3.602760758499713,0.23723924150028708
4016,5ph124thiadiazol3amine_cation->neut (+1 -> +0),0.1,0.8771509233452521,0.7771509233452522
4017,3ph124thiadiazol5amine_cation->neut (+1 -> +0),1.4,1.0733778205923148,0.3266221794076851
4018,5ph124thiadiazol2amine_cation->neut (+1 -> +0),2.9,3.0547818105292377,0.15478181052923778
4019,nme5ph134thiadiazol2amine_cation->neut (+1 -> +0),2.8,3.7386858255244793,0.9386858255244794
4020,aminoisodibutiric_cation->neut (+1 -> +0),2.357,2.139174436882864,0.2178255631171364
4021,aminoisodibutiric_neut->an (+0 -> -1),10.205,10.245955117374905,0.04095511737490476
4022,2aminonaphtalene5sulfonic_neut->an (+0 -> -1),3.96,4.117238021395546,0.1572380213955462
4023,2aminonaphtalene7sulfonic_neut->an (+0 -> -1),3.95,4.056181562762295,0.10618156276229485
4024,356trimethyltriazine_cation->neut (+1 -> +0),2.85,2.055708039069936,0.7942919609300643
4025,triazine2amino56dimethyl_cation->neut (+1 -> +0),3.56,4.356750137849866,0.7967501378498656
4026,135triazine24diamino_cation->neut (+1 -> +0),3.91,4.140794444990152,0.23079444499015178
4027,124triazole35dimethyl_cation->neut (+1 -> +0),3.79,3.8154028613881996,0.025402861388199582
4028,2aminoindole_cation->neut (+1 -> +0),8.15,8.660562234259086,0.5105622342590852
4029,2amino1methylindole_cation->neut (+1 -> +0),9.6,7.739183492664757,1.860816507335243
4030,2imino133trimeindoline_cation->neut (+1 -> +0),9.25,10.554035238073608,1.3040352380736078
4031,26dih2me6oxoisoquinoline_cation->neut (+1 -> +0),5.99,5.980962299023931,0.009037700976069374
4032,28dih2me8oxoisoquinoline_cation->neut (+1 -> +0),5.78,5.681268256395159,0.0987317436048416
4033,isoquinoline3hydroxy_cation->neut (+1 -> +0),2.18,1.910311274310045,0.26968872568995517
4034,isoquinoline3hydroxy_neut->an (+0 -> -1),9.62,9.65819240163862,0.038192401638621476
4035,2methyl4isoquinolone_cation->neut (+1 -> +0),4.9,5.535940383426363,0.6359403834263624
4036,isoquinolonenoxide_cation->neut (+1 -> +0),1.01,0.6413607422444398,0.36863925775556017
4037,pclbenz24diam135triazine_cation->neut (+1 -> +0),3.97,4.603755053570135,0.6337550535701344
4038,24diaminoquinazoline_cation->neut (+1 -> +0),7.96,8.001021669918615,0.041021669918614556
4039,58dicl24diaminoquinazoline_cation->neut (+1 -> +0),6.07,5.355324756074333,0.714675243925667
4040,8et24diaminoquinazoline_cation->neut (+1 -> +0),8.29,7.842870888894895,0.4471291111051041
4041,24diam138triazanaphtalene_cation->neut (+1 -> +0),6.62,6.5883930078709545,0.03160699212904561
4042,57diamthiazolo54dpyrimidine_cation->neut (+1 -> +0),3.89,3.617957342399995,0.272042657600005
4043,26diam8azapurine_cation->neut (+1 -> +0),3.68,4.2185679937035,0.5385679937035
4044,26diam8azapurine_neut->an (+0 -> -1),7.58,7.3225701522056,0.25742984779440015
4045,2am10hpyrimido54b14benzothiazine_cation->neut (+1 -> +0),5.71,5.137745079107182,0.572254920892818
4046,24diam10hpyrimido54b14benzothiazine_cation->neut (+1 -> +0),4.99,4.533880688936696,0.45611931106330417
4047,24diam5benzoylpyrimidine_cation->neut (+1 -> +0),4.63,4.921776449257055,0.29177644925705515
4048,24diam5benzylpyrimidine_cation->neut (+1 -> +0),7.27,7.26863265657286,0.0013673434271392892
4049,24diam6me5benzylpyrimidine_cation->neut (+1 -> +0),7.62,8.155075050575075,0.5350750505750748
4050,5br24diampyrimidine_cation->neut (+1 -> +0),5.6,5.466227247132543,0.13377275286745682
4051,5obrphenyl24diampyrimidine_cation->neut (+1 -> +0),6.7,6.733747490459023,0.0337474904590227
4052,4carboxam26diampyrimidine_cation->neut (+1 -> +0),4.9,4.685625593646856,0.2143744063531443
4053,24diam5carboxpyrimidine_cation->neut (+1 -> +0),2.94,2.731170148432083,0.20882985156791678
4054,24diam5carboxpyrimidine_neut->an (+0 -> -1),6.79,6.747454913279201,0.04254508672079904
4055,5cl24diampyrimidine_cation->neut (+1 -> +0),5.52,5.7339126099024345,0.21391260990243488
4056,6cl24diampyrimidine_cation->neut (+1 -> +0),3.6,3.8790126675034236,0.27901266750342346
4057,5pclbenzoyl24diampyrimidine_cation->neut (+1 -> +0),4.58,4.186870690342539,0.3931293096574615
4058,5pclbenzyl24diampyrimidine_cation->neut (+1 -> +0),7.17,6.92988808771206,0.24011191228794004
4059,5pclphenyl24diampyrimidine_cation->neut (+1 -> +0),6.79,6.883322842245738,0.09332284224573772
4060,3cyano24diampyrimidine_cation->neut (+1 -> +0),3.75,3.4372380741194117,0.31276192588058827
4061,5pclphe6oh24diampyrimidine_cation->neut (+1 -> +0),3.06,2.907595616726872,0.1524043832731281
4062,5pclphe6oh24diampyrimidine_neut->an (+0 -> -1),10.8,10.16715911964036,0.632840880359641
4063,6mercapto24diampyrimidine_cation->neut (+1 -> +0),1.73,1.9176441783376559,0.1876441783376559
4064,6mercapto24diampyrimidine_neut->an (+0 -> -1),10.19,9.409739491645794,0.7802605083542051
4065,5meo24diampyrimidine_cation->neut (+1 -> +0),7.23,7.344780234552379,0.11478023455237896
4066,6methoxy24diampyrimidine_cation->neut (+1 -> +0),5.48,5.481880025751616,0.0018800257516158325
4067,6methoxycarb24diampyrimidine_cation->neut (+1 -> +0),5.32,5.271030614716425,0.048969385283575306
4068,6me24diampyrimidine_cation->neut (+1 -> +0),7.63,7.785288663433965,0.1552886634339652
4069,5me24diampyrimidine_cation->neut (+1 -> +0),7.69,7.642326048214075,0.04767395178592526
4070,6me5ph24diampyrimidine_cation->neut (+1 -> +0),7.4,7.049850007892216,0.3501499921077844
4071,6me5phenox24diampyrimidine_cation->neut (+1 -> +0),6.47,6.54539768521783,0.07539768521783063
4072,5nitro24diampyrimidine_cation->neut (+1 -> +0),2.58,2.140608640418118,0.43939135958188213
4073,5phenoxi24diampyrimidine_cation->neut (+1 -> +0),6.26,6.130547126615875,0.1294528733841247
4074,6phenoxi24diampyrimidine_cation->neut (+1 -> +0),4.8,4.674861180684711,0.12513881931528914
4075,5ph24diampyrimidine_cation->neut (+1 -> +0),6.9,6.770377175224384,0.12962282477561615
4076,6ph24diampyrimidine_cation->neut (+1 -> +0),6.7,6.899558846743482,0.19955884674348212
4077,5ph6cf324diampyrimidine_cation->neut (+1 -> +0),3.25,3.1576519894665918,0.09234801053340824
4078,6mercapto24diam135triazine_cation->neut (+1 -> +0),3.6,3.4623859555206957,0.13761404447930436
4079,6mercapto24diam135triazine_neut->an (+0 -> -1),8.2,9.194749410318297,0.9947494103182972
4080,6me24diam135triazine_cation->neut (+1 -> +0),5.14,4.8373624254891565,0.30263757451084317
4081,6meam24diam135triazine_cation->neut (+1 -> +0),5.1,5.947098293114573,0.8470982931145734
4082,6phenox24diam135triazine_cation->neut (+1 -> +0),2.8,2.978520772106423,0.17852077210642303
4083,3am124triazine_cation->neut (+1 -> +0),4.1,2.692904076379045,1.4070959236209548
4084,3am56dime124triazine_cation->neut (+1 -> +0),3.7,4.519583345832428,0.8195833458324282
4085,2am135triazine_cation->neut (+1 -> +0),2.9,2.846552986931828,0.05344701306817212
4086,4oh6me2am135triazine_cation->neut (+1 -> +0),3.1,3.0127266700592745,0.08727332994072556
4087,4oh6me2am135triazine_neut->an (+0 -> -1),9.2,9.610834019009332,0.41083401900933225
4088,4oh6ph2am135triazine_cation->neut (+1 -> +0),3.0,2.3787408836658814,0.6212591163341186
