,compn,exp.pKa,pred.pKa,M.U.E
3498,"purine, 6,8-dihydroxy-9-methyl- (-1 -> -2)",11.79,11.84522669158235,0.055226691582351606
3499,"purine, 2,8-dihydroxy-7-methyl- (+0 -> -1)",7.7,7.248331268820962,0.45166873117903794
3500,"purine, 2,8-dihydroxy-7-methyl- (-1 -> -2)",12.0,12.51306304323931,0.5130630432393097
3501,"Purine, 2,8-dihydroxy-9-methyl- (+1 -> +0)",0.3,-0.3419121892551509,0.6419121892551509
3502,"Purine, 2,8-dihydroxy-9-methyl- (+0 -> -1)",8.5,8.80660671173069,0.30660671173069076
3503,"Purine, 2,8-dihydroxy-9-methyl- (-1 -> -2)",11.5,12.078361858880905,0.5783618588809052
3504,"purine, 2-dimethylamino- (+1 -> +0)",4.0,4.549016568806919,0.5490165688069188
3505,"purine, 2-dimethylamino- (+0 -> -1)",10.24,10.38033097288223,0.1403309728822304
3506,"purine, 6-dimethylamino- (+1 -> +0)",3.83,4.413861254943018,0.5838612549430175
3507,"purine, 6-dimethylamino- (+0 -> -1)",10.5,10.359146867076909,0.1408531329230911
3508,"purine, 8-dimethylamino- (+1 -> +0)",4.75,4.926142059476979,0.17614205947697936
3509,"purine, 8-dimethylamino- (+0 -> -1)",9.77,10.544619794257795,0.774619794257795
3510,"purine, 6-dimethylcarbamoyl- (+0 -> -1)",7.9,8.19344676972468,0.29344676972467987
3511,"purine, 8-hydroxy- (+1 -> +0)",2.56,2.6866139688812636,0.12661396888126353
3512,"purine, 2-hydroxy-9-methyl- (+0 -> -1)",9.22,9.043993544768444,0.17600645523155656
3513,"purine, 8-hydroxy-7-methyl- (+1 -> +0)",2.66,2.9897504818427123,0.32975048184271216
3514,"purine, 8-hydroxy-7-methyl- (+0 -> -1)",8.23,7.894215983213764,0.3357840167862367
3515,"purine, 8-hydroxy-9-methyl- (+1 -> +0)",2.77,2.740451236579081,0.029548763420919055
3516,"purine, 8-hydroxy-9-methyl- (+0 -> -1)",9.08,8.897924419110222,0.18207558088977827
3517,"purine, 6-hydroxy-2-trifluoromethyl- (+1 -> +0)",1.1,0.7763971326254397,0.32360286737456034
3518,"purine, 6-hydroxy-2-trifluoromethyl- (+0 -> -1)",5.1,5.083969306195673,0.016030693804326646
3519,"purine, 6-hydroxy-2-trifluoromethyl- (-1 -> -2)",11.2,10.935820080497002,0.2641799195029968
3520,"purine, 8-mercapto-9-methyl- (+0 -> -1)",7.5,7.400551835502704,0.09944816449729643
3521,"purine, 2-methoxy- (+1 -> +0)",2.43,1.911856258912918,0.5181437410870822
3522,"purine, 2-methoxy- (+0 -> -1)",9.2,9.18884211936427,0.011157880635728645
3523,"purine, 6-methoxy- (+1 -> +0)",2.17,2.0128462941517604,0.1571537058482395
3524,"purine, 6-methoxy- (+0 -> -1)",9.18,9.221714115418575,0.04171411541857495
3525,"purine, 8-methoxy- (+1 -> +0)",3.11,3.1723499351798274,0.062349935179827565
3526,"purine, 8-methoxy- (+0 -> -1)",7.76,7.720540173462883,0.03945982653711688
3527,"purine, 6-methyl- (+1 -> +0)",2.5,2.826369473667877,0.32636947366787705
3528,"purine, 6-methyl- (+0 -> -1)",9.05,9.55562692547369,0.50562692547369
3529,"purine, 8-methyl- (+1 -> +0)",2.76,2.6988769055173822,0.061123094482617546
3530,"purine, 8-methyl- (+0 -> -1)",9.4,9.554144142717607,0.15414414271760712
3531,"purine, 9-methyl- (+1 -> +0)",2.27,2.392223142738427,0.12222314273842683
3532,"purine, 9-methyl-8-methylthio- (+1 -> +0)",2.95,3.279741996025913,0.3297419960259127
3533,"purine, 2-methylthio- (+1 -> +0)",1.89,2.0590173344837197,0.1690173344837198
3534,"purine, 2-methylthio- (+0 -> -1)",8.93,8.967327527658558,0.03732752765855807
3535,"purine, 6-methylthio- (+1 -> +0)",0.0,1.5677182800446694,1.5677182800446694
3536,"purine, 6-methylthio- (+0 -> -1)",8.76,9.035170567277941,0.2751705672779412
3537,"purine, 8-methylthio- (+1 -> +0)",2.92,2.8295270473196785,0.0904729526803214
3538,"purine, 8-methylthio- (+0 -> -1)",7.7,7.851300043878743,0.1513000438787424
3539,"purine, 8-phenyl- (+1 -> +0)",2.66,2.9417949506523176,0.2817949506523174
3540,"purine, 8-phenyl- (+0 -> -1)",8.1,8.559437966080772,0.45943796608077214
3541,"purine, 2,6,8-triamino- (+2 -> +1)",2.31,2.6286435343911174,0.31864353439111737
3542,"purine, 2,6,8-triamino- (+1 -> +0)",6.17,5.101894391149909,1.0681056088500913
3543,"purine, 2,6,8-triamino- (+0 -> -1)",10.85,10.85490361665467,0.004903616654670984
3544,"purine, 6-trifluoromethyl- (+0 -> -1)",7.35,7.817260878700832,0.46726087870083255
3545,"purine, 1-oxide, 6-amino- (+1 -> +0)",1.0,1.4046807553169076,0.4046807553169076
3546,"purine, 1-oxide, 6-amino- (+0 -> -1)",5.12,5.609067851492561,0.48906785149256127
3547,"1h-Pyrazolo[3,4-d]pyrimidine (+1 -> +0)",2.84,2.459882635823952,0.3801173641760478
3548,"1h-Pyrazolo[3,4-d]pyrimidine (+0 -> -1)",9.54,9.962590673041827,0.42259067304182807
3549,"7-Aminopyrazolo(4,3-d)pyrimidine (+1 -> +0)",5.0,4.942416364683545,0.05758363531645472
3550,"7-Aminopyrazolo(4,3-d)pyrimidine (+0 -> -1)",10.15,10.222862293897212,0.07286229389721122
3551,"pyrazolo[4,3-d]pyrimidine, 7-amino-3-methyl- (+1 -> +0)",5.02,5.013344235791613,0.00665576420838665
3552,"pyrazolo[3,4-d]pyrimidine, 4-amino- (+1 -> +0)",4.59,4.447020579523895,0.142979420476105
3553,"pyrazolo[3,4-d]pyrimidine, 4-amino- (+0 -> -1)",10.84,10.76738169922464,0.07261830077536047
3554,"pyrazolo[3,4-d]pyrimidine, 4-amino-1,6-dimethyl- (+1 -> +0)",5.0,5.067852850441343,0.06785285044134337
3555,"pyrazolo[3,4-d]pyrimidine, 4-amino-1-methyl- (+1 -> +0)",4.32,4.416165858768219,0.09616585876821837
3556,"pyrazolo[3,4-d]pyrimidine, 4-amino-6-methyl- (+1 -> +0)",5.41,5.146381025748666,0.26361897425133396
3557,"pyrazolo[3,4-d]pyrimidine, 4-amino-6-methyl- (+0 -> -1)",11.3,10.93035972668853,0.36964027331146987
3558,"pyrazolo[3,4-d]pyrimidine, 4-amino-3-methyl- (+1 -> +0)",4.61,4.953297706523991,0.34329770652399105
3559,"pyrazolo[3,4-d]pyrimidine, 4-amino-3-methyl- (+0 -> -1)",11.11,11.517380037247026,0.40738003724702665
3560,"pyrazolo[3,4-d]pyrimidine, 4-amino-6-methyl-1-phenyl- (+1 -> +0)",4.52,4.256633726325304,0.2633662736746958
3561,"pyrazolo[3,4-d]pyrimidine, 4-amino-1-phenyl- (+1 -> +0)",3.89,3.6830907576137957,0.20690924238620445
3562,"pyrazolo[3,4-d]pyrimidine, 6,4-diamino- (+1 -> +0)",5.59,5.480950181647823,0.10904981835217686
3563,"pyrazolo[3,4-d]pyrimidine, 6,4-diamino-1-phenyl- (+1 -> +0)",4.49,4.642417398026726,0.15241739802672605
3564,"pyrazolo[3,4-d]pyrimidine, 1,6-dimethyl- (+1 -> +0)",3.27,3.232924529043749,0.03707547095625108
3565,"pyrazolo[3,4-d]pyrimidine, 4-dimethylamino- (+1 -> +0)",4.53,4.930443979240626,0.4004439792406256
3566,"pyrazolo[3,4-d]pyrimidine, 4-dimethylamino-1-methyl- (+1 -> +0)",4.05,4.67781293770776,0.6278129377077599
3567,"pyrazolo[3,4-d]pyrimidine, 4-methoxy-1-methyl- (+1 -> +0)",2.51,1.4450437361838544,1.0649562638161454
3568,"pyrazolo[3,4-d]pyrimidine, 1-methyl- (+1 -> +0)",2.46,2.645902536568844,0.18590253656884403
3569,"pyrazolo[3,4-d]pyrimidine, 4-methylthio- (+1 -> +0)",1.0,1.330779211297437,0.33077921129743704
3570,"pyrazolo[3,4-d]pyrimidine, 4-methylthio- (+0 -> -1)",9.65,9.369461224810454,0.2805387751895463
3571,"thiazolo[5,4-d]pyrimidine, 7-amino- (+1 -> +0)",2.74,2.6937960744909377,0.04620392550906249
3572,"benzo[f]quinoline, 10-amino- (+1 -> +0)",4.99,5.60485062794989,0.61485062794989
3573,"benzo[f]quinoline, 3-amino-1-methyl- (+1 -> +0)",7.1,6.86148386260152,0.23851613739847988
3574,"benzo[h]quinoline, 2-amino-4-methyl- (+1 -> +0)",6.7,6.585128332436993,0.11487166756300748
3575,"phenanthridine, 9-amino- (+1 -> +0)",6.84,6.608067583911353,0.23193241608864668
3576,"phenanthridine, 3-hydroxy- (+1 -> +0)",4.78,4.692717524678564,0.08728247532143651
3577,"phenanthridine, 3-hydroxy- (+0 -> -1)",8.83,8.888709811016103,0.05870981101610262
3578,"phenanthridine, 8-hydroxy- (+1 -> +0)",4.35,4.6720340588049565,0.32203405880495684
3579,"phenanthridine, 8-hydroxy- (+0 -> -1)",8.72,8.717178524882765,0.0028214751172352948
3580,"phenanthridine, 9-hydroxy- (+1 -> +0)",5.31,5.611905074857371,0.3019050748573715
3581,"phenanthridine, 9-hydroxy- (+0 -> -1)",8.47,8.173294522435238,0.2967054775647622
3582,"1H-Naphth[1,2-d]imidazole (+1 -> +0)",5.27,5.379353168343006,0.10935316834300668
3583,"1H-Naphth[1,2-d]imidazole (+0 -> -1)",12.58,12.471777105851562,0.10822289414843844
3584,"1H-Naphth[1,2-d]imidazole, 2-chloro-6,7,8,9-tetrahydro- (+1 -> +0)",2.54,1.941509999324694,0.598490000675306
3585,"1H-Naphth[1,2-d]imidazole, 2-dimethylamino-6,7,8,9-tetrahydro- (+1 -> +0)",7.54,7.158200729131297,0.38179927086870347
3586,"1H-Naphth[1,2-d]imidazole, 6,7,8,9-tetrahydro- (+1 -> +0)",5.99,5.953040470672195,0.03695952932780511
3587,"1H-Naphth[1,2-d]imidazole, 6,7,8,9-tetrahydro- (+0 -> -1)",12.8,13.054459092457112,0.25445909245711107
3588,"1H-Naphth[2,3-d]imidazole, 2-amino- (+1 -> +0)",6.99,6.75633694131682,0.23366305868318005
3589,"1H-Naphth[2,3-d]imidazole, 2-amino- (+0 -> -1)",12.8,12.18066826067906,0.6193317393209412
3590,"1H-Naphth[2,3-d]imidazole, 2-amino-5,6,7,8-tetrahydro- (+1 -> +0)",7.64,6.988212858889835,0.651787141110165
3591,"1H-Naphth[2,3-d]imidazole, 2-ethyl- (+1 -> +0)",6.13,5.830799044792289,0.29920095520771106
3592,"1H-Naphth[2,3-d]imidazole, 2-ethyl- (+0 -> -1)",12.9,12.701900656249693,0.19809934375030736
3593,"1H-Naphth[2,3-d]imidazole, 2-chloro-5,6,7,8-tetrahydro- (+1 -> +0)",2.64,2.5311970795890524,0.10880292041094775
3594,"1H-Naphth[2,3-d]imidazole, 2-dimethylamino-5,6,7,8-tetrahydro- (+1 -> +0)",7.61,8.213016832419548,0.6030168324195477
3595,"1H-Naphth[2,3-d]imidazole, 2-ethyl-5,6,7,8-tetrahydro- (+1 -> +0)",6.6,6.68963403527827,0.0896340352782703
3596,"1H-Naphth[2,3-d]imidazole, 2-hydroxy- (+0 -> -1)",11.66,11.477167959388272,0.18283204061172853
3597,"1H-Naphth[2,3-d]imidazole, 5,6,7,8-tetrahydro- (+1 -> +0)",5.96,5.900335506269933,0.059664493730067214
