,compn,exp.pKa,pred.pKa,M.U.E
1462,ascorbic_an->2an (-1 -> -2),11.62,10.922225947489096,0.6977740525109031
1463,allobarbital_neut->an (+0 -> -1),7.81,7.652117912455311,0.1578820875446887
1464,2benzenesulfonylamidopyrimidine_neut->an (+0 -> -1),5.91,5.900703083940002,0.009296916059998495
1465,8bromotheophyline_neut->an (+0 -> -1),5.45,5.758289114864801,0.3082891148648006
1466,camptothecin_cation->neut (+1 -> +0),1.18,1.6734986542102286,0.49349865421022865
1467,captopril_neut->an (+0 -> -1),3.7,3.6871719546367734,0.012828045363226792
1468,captopril_an->2an (-1 -> -2),9.8,10.540993479670878,0.7409934796708768
1469,chloralhydrate_neut->an (+0 -> -1),10.04,9.796127862842066,0.24387213715793266
1470,8chlorotheophylline_neut->an (+0 -> -1),5.3,5.2910482980319955,0.008951701968004322
1471,chlorothiazide_neut->an (+0 -> -1),6.85,6.566278981119574,0.283721018880426
1472,chlorothiazide_an->2an (-1 -> -2),9.45,9.340880407294033,0.10911959270596583
1473,cinoxacin_neut->an (+0 -> -1),5.38,5.1481173929941555,0.2318826070058444
1474,clioquinol_neut->an (+0 -> -1),8.16,7.169283016756513,0.9907169832434874
1475,clonidine_cation->neut (+1 -> +0),8.12,6.663273323453115,1.456726676546884
